fecha,dia,nuevos,muertes,recuperados,muertes acumuladas,recuperaciones acumuladas,casos acumulados,uci,tests
2020-03-06,0,1,0,0,0,0,1,0,739
2020-03-09,3,2,0,0,0,0,3,0,851
2020-03-11,5,6,0,0,0,0,9,0,1133
2020-03-12,6,5,0,0,0,0,14,0,1393
2020-03-13,7,5,0,1,0,1,19,0,1754
2020-03-14,8,18,0,1,0,2,37,0,2343
2020-03-15,9,16,0,1,0,3,53,0,3176
2020-03-16,10,14,1,0,1,3,67,0,3607
2020-03-17,11,25,0,1,1,4,92,0,3931
2020-03-18,12,12,0,0,1,4,104,0,4690
2020-03-19,13,26,0,1,1,5,130,0,5363
2020-03-20,14,48,0,1,1,6,178,0,5766
2020-03-21,15,34,0,4,1,10,212,0,6064
2020-03-22,16,29,1,3,2,13,241,0,6910
2020-03-23,17,73,1,9,3,22,314,0,7285
2020-03-24,18,105,1,11,4,33,419,0,8051
2020-03-25,19,61,4,13,8,46,480,0,8797
2020-03-26,20,10,2,16,10,62,490,0,9228
2020-03-27,21,49,3,18,13,80,539,23,9486
2020-03-28,22,69,5,32,18,112,608,27,10851
2020-03-29,23,94,1,29,19,141,702,29,12325
2020-03-30,24,96,5,35,24,176,798,31,13816
2020-03-31,25,107,5,29,29,205,905,35,17863
2020-04-01,26,160,4,33,33,238,1065,47,20253
2020-04-02,27,96,6,33,39,271,1161,50,21412
2020-04-03,28,105,13,37,52,308,1266,54,22752
2020-04-04,29,140,15,41,67,349,1406,57,23989
2020-04-05,30,79,8,20,75,369,1485,63,25547
2020-04-06,31,94,12,23,87,392,1579,76,27968
2020-04-07,32,129,8,25,95,417,1708,76,30728
2020-04-08,33,346,4,43,99,460,2054,85,33858
2020-04-09,34,169,12,43,111,503,2223,84,35193
2020-04-10,35,251,5,48,116,551,2474,86,37876
2020-04-11,36,235,8,50,124,601,2709,92,40618
2020-04-12,37,67,12,94,136,695,2776,103,41780
2020-04-13,38,76,7,97,143,792,2852,106,43036
2020-04-14,39,126,11,72,154,864,2978,103,45351
2020-04-15,40,125,12,92,166,956,3103,98,48556
2020-04-16,41,128,16,66,182,1022,3231,105,52013
2020-04-17,42,205,5,48,187,1070,3436,112,55501
2020-04-18,43,183,12,40,199,1110,3619,-1,58930
2020-04-19,44,174,8,61,207,1171,3793,100,62674
2020-04-20,45,182,7,54,214,1225,3975,95,65097
2020-04-21,46,171,9,59,223,1284,4146,108,68356
2020-04-22,47,193,8,47,231,1331,4339,102,71407
2020-04-23,48,194,10,66,241,1397,4533,119,74864
2020-04-23,48,194,10,66,241,1397,4533,0,74864
2020-04-24,49,304,13,44,254,1441,4837,117,77985
2020-04-25,50,261,9,80,263,1521,5098,118,81053
2020-04-26,51,237,18,57,281,1578,5335,116,87106
2020-04-27,52,218,10,46,291,1624,5553,-1,90899
2020-04-28,53,354,10,71,301,1695,5907,115,95085
2020-04-29,54,261,17,70,318,1765,6168,-1,100153
2020-04-30,55,296,20,23,338,1788,6464,-1,104657
2020-05-01,56,500,9,46,347,1834,6964,120,108950
2020-05-02,57,277,16,36,363,1870,7241,122,114602
2020-05-03,58,423,10,25,373,1895,7664,122,118801
2020-05-04,59,306,13,8,386,1903,7970,120,123029
2020-05-05,60,643,7,175,393,2078,8613,126,127105
2020-05-06,61,346,3,70,396,2148,8959,123,-1
